,Population,Total_Registrations
0,27746,2174
1,37923,1978
2,27015,3166
3,47012,1299
4,16503,1198
5,34695,1573
6,45330,2512
7,66379,2971
8,72074,5096
9,100941,5203
10,59882,3056
11,13653,335
12,34210,1968
13,103069,6369
14,52632,3106
15,30035,1059
16,51226,936
17,52973,2636
18,75556,4227
19,253958,14555
20,21546,6655
21,52258,2862
22,27645,1318
23,42484,1534
24,35989,1979
25,34145,1397
26,41342,1413
27,72874,4959
28,128594,2991
29,19520,1040
30,34283,814
31,10271,1301
32,79013,4586
33,97642,5917
34,93989,3189
35,80587,5080
36,18415,1026
37,58531,2890
38,94556,6428
39,15681,874
40,42358,3572
41,24478,1524
42,20499,1254
43,44113,2402
44,36204,1701
45,31333,1862
46,64666,4127
47,4971,223
48,99799,5303
49,35880,1728
50,78135,5011
51,45724,641
52,19911,2481
53,58766,2725
54,40379,1482
55,41180,2099
56,11489,877
57,52974,1374
58,60904,1644
59,84335,5237
60,101154,5849
61,33445,2432
62,35955,2027
63,13763,2287
64,66185,3083
65,17578,1863
66,80170,6119
67,63878,2263
68,237843,12567
69,32231,1702
70,197660,11091
71,49377,2602
72,9273,718
73,81974,3970
74,110143,6044
75,81280,4209
76,17888,871
77,19616,1105
78,41490,1760
79,74241,3363
80,43234,2565
81,21465,1155
82,56705,2005
83,45789,3139
84,16462,1312
85,33713,2064
86,23010,628
87,57712,2830
88,54607,2825
89,71052,3584
90,12494,530
91,64851,5735
92,53439,2877
93,19239,777
94,11518,676
95,39766,1748
96,14090,992
97,44207,3355
98,29451,1887
99,103702,5126
100,56138,2538
