,Pet_Owners
0,1715
1,1586
2,2518
3,1039
4,846
5,1247
6,1908
7,2268
8,3820
9,4034
10,2410
11,285
12,1587
13,5007
14,2304
15,777
16,780
17,2256
18,3631
19,10512
20,5237
21,2488
22,1019
23,1289
24,1579
25,1165
26,1130
27,3807
28,2494
29,830
30,696
31,985
32,4074
33,4551
34,2459
35,3929
36,809
37,2316
38,5111
39,670
40,2799
41,1270
42,912
43,2209
44,1374
45,1384
46,3234
47,160
48,4212
49,1318
50,3848
51,505
52,1647
53,2178
54,948
55,1672
56,684
57,1127
58,1379
59,4171
60,5156
61,1855
62,1690
63,1559
64,2447
65,1305
66,4738
67,1717
68,9567
69,1340
70,9596
71,2039
72,541
73,3102
74,4709
75,3446
76,680
77,842
78,1434
79,2666
80,2318
81,881
82,1621
83,2511
84,977
85,1659
86,512
87,2612
88,2361
89,2745
90,440
91,4399
92,2294
93,596
94,511
95,1404
96,781
97,2672
98,1462
99,3871
100,1873
