,Total_Registrations
0,2174
1,1978
2,3166
3,1299
4,1198
5,1573
6,2512
7,2971
8,5096
9,5203
10,3056
11,335
12,1968
13,6369
14,3106
15,1059
16,936
17,2636
18,4227
19,14555
20,6655
21,2862
22,1318
23,1534
24,1979
25,1397
26,1413
27,4959
28,2991
29,1040
30,814
31,1301
32,4586
33,5917
34,3189
35,5080
36,1026
37,2890
38,6428
39,874
40,3572
41,1524
42,1254
43,2402
44,1701
45,1862
46,4127
47,223
48,5303
49,1728
50,5011
51,641
52,2481
53,2725
54,1482
55,2099
56,877
57,1374
58,1644
59,5237
60,5849
61,2432
62,2027
63,2287
64,3083
65,1863
66,6119
67,2263
68,12567
69,1702
70,11091
71,2602
72,718
73,3970
74,6044
75,4209
76,871
77,1105
78,1760
79,3363
80,2565
81,1155
82,2005
83,3139
84,1312
85,2064
86,628
87,2830
88,2825
89,3584
90,530
91,5735
92,2877
93,777
94,676
95,1748
96,992
97,3355
98,1887
99,5126
100,2538
