구,Location,category1,0
강남구,개포동,반려동물 서비스,2
강남구,개포동,반려동반여행,1
강남구,개포동,반려의료,13
강남구,논현동,반려동물 서비스,26
강남구,논현동,반려동물식당카페,8
강남구,논현동,반려동반여행,1
강남구,논현동,반려의료,39
강남구,대치동,반려동물 서비스,10
강남구,대치동,반려동물식당카페,2
강남구,대치동,반려동반여행,3
강남구,대치동,반려의료,27
강남구,도곡동,반려동물 서비스,3
강남구,도곡동,반려의료,16
강남구,삼성동,반려동물 서비스,24
강남구,삼성동,반려동물식당카페,1
강남구,삼성동,반려의료,24
강남구,세곡동,반려동물 서비스,1
강남구,세곡동,반려의료,3
강남구,수서동,반려동물 서비스,1
강남구,수서동,반려의료,5
강남구,신사동,반려동물 서비스,10
강남구,신사동,반려동물식당카페,5
강남구,신사동,반려동반여행,4
강남구,신사동,반려의료,37
강남구,압구정동,반려동물 서비스,2
강남구,압구정동,반려의료,5
강남구,역삼동,반려동물 서비스,30
강남구,역삼동,반려동물식당카페,6
강남구,역삼동,반려동반여행,1
강남구,역삼동,반려의료,43
강남구,율현동,반려동반여행,1
강남구,일원동,반려동물 서비스,1
강남구,일원동,반려동반여행,1
강남구,일원동,반려의료,13
강남구,자곡동,반려동반여행,1
강남구,자곡동,반려의료,7
강남구,청담동,반려동물 서비스,14
강남구,청담동,반려동물식당카페,1
강남구,청담동,반려동반여행,1
강남구,청담동,반려의료,19
강동구,강일동,반려동물 서비스,1
강동구,강일동,반려의료,7
강동구,고덕동,반려동물 서비스,4
강동구,고덕동,반려동반여행,1
강동구,고덕동,반려의료,10
강동구,길동,반려동물 서비스,5
강동구,길동,반려의료,15
강동구,둔촌동,반려동물 서비스,5
강동구,둔촌동,반려동물식당카페,2
강동구,둔촌동,반려동반여행,1
강동구,둔촌동,반려의료,3
강동구,명일동,반려동물 서비스,8
강동구,명일동,반려의료,28
강동구,상일동,반려동물 서비스,2
강동구,상일동,반려동반여행,1
강동구,상일동,반려의료,5
강동구,성내동,반려동물 서비스,13
강동구,성내동,반려동물식당카페,4
강동구,성내동,반려의료,27
강동구,암사동,반려동물 서비스,9
강동구,암사동,반려동반여행,1
강동구,암사동,반려의료,13
강동구,천호동,반려동물 서비스,20
강동구,천호동,반려의료,27
강북구,미아동,반려동물 서비스,20
강북구,미아동,반려동물식당카페,1
강북구,미아동,반려동반여행,2
강북구,미아동,반려의료,48
강북구,번동,반려동물 서비스,6
강북구,번동,반려동물식당카페,3
강북구,번동,반려동반여행,1
강북구,번동,반려의료,16
강북구,수유동,반려동물 서비스,20
강북구,수유동,반려동물식당카페,4
강북구,수유동,반려동반여행,1
강북구,수유동,반려의료,30
강북구,우이동,반려동물 서비스,2
강북구,우이동,반려동반여행,1
강북구,우이동,반려의료,2
강서구,가양동,반려동물 서비스,4
강서구,가양동,반려동반여행,2
강서구,가양동,반려의료,8
강서구,개화동,반려동물식당카페,1
강서구,공항동,반려동물 서비스,2
강서구,공항동,반려의료,3
강서구,내발산동,반려동물 서비스,8
강서구,내발산동,반려동반여행,1
강서구,내발산동,반려의료,16
강서구,등촌동,반려동물 서비스,8
강서구,등촌동,반려의료,18
강서구,마곡동,반려동물 서비스,22
강서구,마곡동,반려동물식당카페,2
강서구,마곡동,반려동반여행,1
강서구,마곡동,반려의료,32
강서구,방화동,반려동물 서비스,4
강서구,방화동,반려동반여행,1
강서구,방화동,반려의료,13
강서구,염창동,반려동물 서비스,3
강서구,염창동,반려동물식당카페,1
강서구,염창동,반려의료,6
강서구,외발산동,반려동물 서비스,1
강서구,화곡동,반려동물 서비스,23
강서구,화곡동,반려동물식당카페,5
강서구,화곡동,반려동반여행,1
강서구,화곡동,반려의료,47
관악구,남현동,반려동물 서비스,1
관악구,남현동,반려의료,7
관악구,봉천동,반려동물 서비스,20
관악구,봉천동,반려동물식당카페,3
관악구,봉천동,반려의료,48
관악구,신림동,반려동물 서비스,29
관악구,신림동,반려동물식당카페,3
관악구,신림동,반려동반여행,3
관악구,신림동,반려의료,51
광진구,광장동,반려동물 서비스,1
광진구,광장동,반려동반여행,1
광진구,광장동,반려의료,5
광진구,구의동,반려동물 서비스,15
광진구,구의동,반려의료,20
광진구,군자동,반려동물 서비스,3
광진구,군자동,반려동반여행,1
광진구,군자동,반려의료,6
광진구,능동,반려동물 서비스,3
광진구,능동,반려동반여행,1
광진구,능동,반려의료,4
광진구,자양동,반려동물 서비스,8
광진구,자양동,반려동물식당카페,2
광진구,자양동,반려동반여행,1
광진구,자양동,반려의료,28
광진구,중곡동,반려동물 서비스,15
광진구,중곡동,반려의료,18
광진구,화양동,반려동물 서비스,4
광진구,화양동,반려동물식당카페,2
광진구,화양동,반려동반여행,1
광진구,화양동,반려의료,7
구로구,가리봉동,반려동물 서비스,1
구로구,가리봉동,반려의료,2
구로구,개봉동,반려동물 서비스,5
구로구,개봉동,반려의료,19
구로구,고척동,반려동물 서비스,8
구로구,고척동,반려의료,15
구로구,구로동,반려동물 서비스,12
구로구,구로동,반려동반여행,2
구로구,구로동,반려의료,26
구로구,궁동,반려동물 서비스,1
구로구,궁동,반려의료,3
